"Id","Sales"
1,5020
2,8977
3,11560
4,8420
5,7539
6,6186
7,7361
8,7996
9,7648
10,5672
11,8891
12,10226
13,8400
14,12379
15,6985
16,5685
17,5801
18,11439
19,11272
20,10270
21,8039
22,4881
23,6712
24,5779
25,8146
26,11088
27,11955
28,6591
29,5734
30,5191
31,6311
32,10853
33,5982
34,6063
35,7057
36,7585
37,3297
38,8996
39,5324
40,8280
41,7024
42,6797
43,8705
44,8433
45,5868
46,7181
47,9316
48,13029
49,6937
50,10875
51,7780
52,10252
53,8034
54,10090
55,5434
56,4998
57,6349
58,7551
59,10775
60,8141
61,6371
62,8942
63,7376
64,10023
65,3401
66,12928
67,4759
68,6433
69,8879
70,6151
71,6683
72,5897
73,7964
74,6399
75,6046
76,9631
77,8655
78,7241
79,6561
80,8132
81,14082
82,6082
83,5680
84,8446
85,6071
86,6819
87,9370
88,3921
89,8263
90,5737
91,7749
92,10576
93,4046
94,6659
95,6568
96,8895
97,9903
98,5773
99,4608
100,9173
101,6568
102,7977
103,8026
104,8083
105,9419
106,6558
107,4181
108,6740
109,9142
110,10475
111,8798
112,8504
113,6362
114,11755
115,6227
116,7587
117,10780
118,7854
119,10797
120,9662
121,8741
122,6442
123,6558
124,9618
125,8844
126,4504
127,7130
128,8956
129,7626
130,4771
131,8999
132,7212
133,6479
134,5710
135,5464
136,9668
137,8365
138,7860
139,5812
140,6066
141,6370
142,4278
143,6673
144,7630
145,9207
146,9079
147,7531
148,15620
149,6288
150,6586
151,10916
152,7882
153,9391
154,7103
155,6015
156,7326
157,5997
158,8646
159,10983
160,8144
161,4338
162,4186
163,9496
164,8887
165,8003
166,7357
167,4599
168,5990
169,3796
170,4673
171,6865
172,9351
173,6846
174,6565
175,9036
176,10159
177,7605
178,7168
179,12210
180,10327
181,6122
182,8478
183,5727
184,6351
185,4915
186,9301
187,6116
188,9978
189,7531
190,9354
191,6738
192,5770
193,10695
194,20061
195,12166
196,6707
197,3565
198,7510
199,9677
200,6681
201,12178
202,22253
203,4381
204,6648
205,14475
206,5188
207,8465
208,7819
209,9699
210,5625
211,6903
212,8029
213,7580
214,12275
215,7302
216,6846
217,9079
218,6518
219,5459
220,9614
221,5825
222,6209
223,7395
224,7855
225,7240
226,7898
227,8318
228,8765
229,9853
230,8095
231,6307
232,4099
233,7199
234,7300
235,6484
236,5643
237,9306
238,8231
239,11135
240,7542
241,6067
242,6330
243,4723
244,10450
245,6200
246,7955
247,16912
248,7648
249,9089
250,6385
251,4781
252,7316
253,4201
254,6202
255,11634
256,6050
257,16308
258,15959
259,6031
260,7538
261,5511
262,6732
263,5326
264,13146
265,8420
266,10488
267,5459
268,7781
269,5716
270,10112
271,7772
272,7523
273,7748
274,6514
275,7992
276,9842
277,7495
278,11466
279,7694
280,10216
281,6250
282,8197
283,4945
284,12314
285,6986
286,9120
287,7633
288,9867
289,5028
290,9044
291,8125
292,4653
293,14706
294,19194
295,7699
296,8658
297,10764
298,10708
299,12000
300,6777
301,6805
302,6852
303,8920
304,3434
305,6728
306,7098
307,6960
308,8227
309,6772
310,5084
311,7903
312,4843
313,6129
314,9211
315,6812
316,10325
317,10247
318,8642
319,7278
320,7257
321,12628
322,7434
323,6038
324,5767
325,13964
326,4676
327,7076
328,3150
329,5125
330,12943
331,7610
332,6145
333,10116
334,10765
335,13839
336,7092
337,11115
338,3405
339,6681
340,6399
341,5809
342,9424
343,5561
344,4704
345,8584
346,11944
347,13984
348,6385
349,6254
350,12678
351,9372
352,7231
353,6350
354,7531
355,10847
356,4882
357,6068
358,9077
359,8869
360,14503
361,9458
362,12576
363,8119
364,6281
365,4171
366,5814
367,6766
368,6485
369,8031
370,6782
371,5735
372,9484
373,2999
374,8458
375,8141
376,8929
377,10321
378,6671
379,9264
380,6953
381,6651
382,7853
383,6097
384,12534
385,7075
386,6546
387,7922
388,9704
389,8006
390,6975
391,9186
392,5440
393,6606
394,6981
395,10131
396,7996
397,7802
398,7440
399,6309
400,4281
401,6260
402,10430
403,10041
404,10469
405,12792
406,8731
407,8020
408,5144
409,11119
410,13128
411,9246
412,9373
413,10052
414,8144
415,3834
416,13424
417,8241
418,8756
419,7236
420,3309
421,12624
422,8165
423,4674
424,4629
425,5810
426,6429
427,9055
428,8898
429,5086
430,5990
431,4196
432,3500
433,7535
434,18577
435,4898
436,6413
437,6938
438,5741
439,5983
440,6137
441,3908
442,8559
443,7766
444,4298
445,11157
446,7689
